"id","planting","ft"
"FA051","planting.4",45
"FA052","planting.2",65
"FA052","planting.3",35
"FA052","planting.5",66
"FA052","planting.6",39
"FA052","planting.1",NA
"FA052","planting.4",45
"FA056","planting.2",65
"FA056","planting.3",49
"FA056","planting.5",59
"FA056","planting.6",NA
"FA056","planting.1",70
"FA056","planting.4",NA
"FA057","planting.2",NA
"FA057","planting.3",NA
"FA057","planting.5",38
"FA057","planting.6",NA
"FA057","planting.1",52
"FA057","planting.4",38
"FA058","planting.2",72
"FA058","planting.3",49
"FA058","planting.5",66
"FA058","planting.6",53
"FA058","planting.1",59
"FA058","planting.4",57
"FA061","planting.2",51
"FA061","planting.3",21
"FA061","planting.5",59
"FA061","planting.6",39
"FA061","planting.1",52
"FA061","planting.4",45
"FA063","planting.2",58
"FA063","planting.3",21
"FA063","planting.5",52
"FA063","planting.6",39
"FA063","planting.1",52
"FA063","planting.4",57
"FA064","planting.2",65
"FA064","planting.3",28
"FA064","planting.5",52
"FA064","planting.6",32
"FA064","planting.1",45
"FA064","planting.4",52
"FA066","planting.2",51
"FA066","planting.3",14
"FA066","planting.5",45
"FA066","planting.6",32
"FA066","planting.1",45
"FA066","planting.4",45
"FA068","planting.2",51
"FA068","planting.3",NA
"FA068","planting.5",45
"FA068","planting.6",39
"FA068","planting.1",52
"FA068","planting.4",45
"FA072","planting.2",51
"FA072","planting.3",42
"FA072","planting.5",78
"FA072","planting.6",53
"FA072","planting.1",70
"FA072","planting.4",64
"FA073","planting.2",58
"FA073","planting.3",35
"FA073","planting.5",59
"FA073","planting.6",46
"FA073","planting.1",59
"FA073","planting.4",52
"FA074","planting.2",79
"FA074","planting.3",55
"FA074","planting.5",45
"FA074","planting.6",60
"FA074","planting.1",70
"FA074","planting.4",64
"FA076","planting.2",51
"FA076","planting.3",49
"FA076","planting.5",66
"FA076","planting.6",NA
"FA076","planting.1",70
"FA076","planting.4",64
"FA081","planting.2",72
"FA081","planting.3",49
"FA081","planting.5",59
"FA081","planting.6",46
"FA081","planting.1",52
"FA081","planting.4",45
"FA086","planting.2",58
"FA086","planting.3",35
"FA086","planting.5",59
"FA086","planting.6",NA
"FA086","planting.1",52
"FA086","planting.4",57
"FA087","planting.2",51
"FA087","planting.3",35
"FA087","planting.5",59
"FA087","planting.6",39
"FA087","planting.1",52
"FA087","planting.4",45
"FA089","planting.2",58
"FA089","planting.3",42
"FA089","planting.5",66
"FA089","planting.6",60
"FA089","planting.1",52
"FA089","planting.4",64
"FA090","planting.2",72
"FA090","planting.3",55
"FA090","planting.5",45
"FA090","planting.6",60
"FA090","planting.1",59
"FA090","planting.4",52
"FA093","planting.2",51
"FA093","planting.3",21
"FA093","planting.5",45
"FA093","planting.6",39
"FA093","planting.1",52
"FA093","planting.4",52
"FA094","planting.2",58
"FA094","planting.3",28
"FA094","planting.5",59
"FA094","planting.6",53
"FA094","planting.1",59
"FA094","planting.4",57
"FA095","planting.2",65
"FA095","planting.3",55
"FA095","planting.5",73
"FA095","planting.6",NA
"FA095","planting.1",59
"FA095","planting.4",57
"FA096","planting.2",65
"FA096","planting.3",42
"FA096","planting.5",66
"FA096","planting.6",39
"FA096","planting.1",52
"FA096","planting.4",52
"FA097","planting.2",65
"FA097","planting.3",42
"FA097","planting.5",66
"FA097","planting.6",46
"FA097","planting.1",59
"FA097","planting.4",57
"FA099","planting.2",51
"FA099","planting.3",35
"FA099","planting.5",59
"FA099","planting.6",46
"FA099","planting.1",59
"FA099","planting.4",57
"FA100","planting.2",51
"FA100","planting.3",28
"FA100","planting.5",59
"FA100","planting.6",NA
"FA100","planting.1",NA
"FA100","planting.4",38
"FA101","planting.2",51
"FA101","planting.3",21
"FA101","planting.5",45
"FA101","planting.6",39
"FA101","planting.1",NA
"FA101","planting.4",NA
"FA102","planting.2",43
"FA102","planting.3",NA
"FA102","planting.5",45
"FA102","planting.6",39
"FA102","planting.1",52
"FA102","planting.4",45
"FA103","planting.2",43
"FA103","planting.3",NA
"FA103","planting.5",38
"FA103","planting.6",25
"FA103","planting.1",52
"FA103","planting.4",45
"FA104","planting.2",NA
"FA104","planting.3",NA
"FA104","planting.5",45
"FA104","planting.6",NA
"FA104","planting.1",52
"FA104","planting.4",57
"FA105","planting.2",51
"FA105","planting.3",21
"FA105","planting.5",52
"FA105","planting.6",32
"FA105","planting.1",NA
"FA105","planting.4",38
"FA106","planting.2",65
"FA106","planting.3",42
"FA106","planting.5",66
"FA106","planting.6",60
"FA106","planting.1",59
"FA106","planting.4",52
"FA107","planting.2",72
"FA107","planting.3",49
"FA107","planting.5",78
"FA107","planting.6",60
"FA107","planting.1",70
"FA107","planting.4",57
"FA108","planting.2",58
"FA108","planting.3",42
"FA108","planting.5",66
"FA108","planting.6",46
"FA108","planting.1",NA
"FA108","planting.4",57
"FA112","planting.2",51
"FA112","planting.3",14
"FA112","planting.5",45
"FA112","planting.6",NA
"FA112","planting.1",52
"FA112","planting.4",45
"FA113","planting.2",43
"FA113","planting.3",14
"FA113","planting.5",52
"FA113","planting.6",32
"FA113","planting.1",45
"FA113","planting.4",NA
"FA116","planting.2",51
"FA116","planting.3",28
"FA116","planting.5",59
"FA116","planting.6",53
"FA116","planting.1",59
"FA116","planting.4",52
"FA117","planting.2",58
"FA117","planting.3",35
"FA117","planting.5",59
"FA117","planting.6",32
"FA117","planting.1",59
"FA117","planting.4",52
"FA118","planting.2",65
"FA118","planting.3",42
"FA118","planting.5",66
"FA118","planting.6",46
"FA118","planting.1",59
"FA118","planting.4",52
"FA119","planting.2",58
"FA119","planting.3",28
"FA119","planting.5",66
"FA119","planting.6",39
"FA119","planting.1",59
"FA119","planting.4",NA
"FA120","planting.2",65
"FA120","planting.3",49
"FA120","planting.5",66
"FA120","planting.6",53
"FA120","planting.1",59
"FA120","planting.4",52
"FA121","planting.2",65
"FA121","planting.3",35
"FA121","planting.5",59
"FA121","planting.6",53
"FA121","planting.1",59
"FA121","planting.4",64
"FA122","planting.2",58
"FA122","planting.3",35
"FA122","planting.5",66
"FA122","planting.6",39
"FA122","planting.1",45
"FA122","planting.4",38
"FA125","planting.2",NA
"FA125","planting.3",NA
"FA125","planting.5",21
"FA125","planting.6",39
"FA125","planting.1",NA
"FA125","planting.4",NA
"FA126","planting.2",51
"FA126","planting.3",14
"FA126","planting.5",59
"FA126","planting.6",39
"FA126","planting.1",38
"FA126","planting.4",38
"FA127","planting.2",65
"FA127","planting.3",55
"FA127","planting.5",66
"FA127","planting.6",60
"FA127","planting.1",59
"FA127","planting.4",64
"FA128","planting.2",58
"FA128","planting.3",42
"FA128","planting.5",66
"FA128","planting.6",60
"FA128","planting.1",59
"FA128","planting.4",64
"FA133","planting.2",72
"FA133","planting.3",49
"FA133","planting.5",73
"FA133","planting.6",60
"FA133","planting.1",59
"FA133","planting.4",64
"FA138","planting.2",51
"FA138","planting.3",49
"FA138","planting.5",NA
"FA138","planting.6",60
"FA138","planting.1",52
"FA138","planting.4",57
"FA139","planting.2",51
"FA139","planting.3",NA
"FA139","planting.5",52
"FA139","planting.6",32
"FA139","planting.1",45
"FA139","planting.4",45
"FA142","planting.2",65
"FA142","planting.3",42
"FA142","planting.5",66
"FA142","planting.6",46
"FA142","planting.1",59
"FA142","planting.4",57
"FA144","planting.2",51
"FA144","planting.3",49
"FA144","planting.5",45
"FA144","planting.6",46
"FA144","planting.1",52
"FA144","planting.4",NA
"FA146","planting.2",58
"FA146","planting.3",42
"FA146","planting.5",59
"FA146","planting.6",39
"FA146","planting.1",59
"FA146","planting.4",45
"FA147","planting.2",72
"FA147","planting.3",55
"FA147","planting.5",59
"FA147","planting.6",39
"FA147","planting.1",45
"FA147","planting.4",52
"FA148","planting.2",65
"FA148","planting.3",49
"FA148","planting.5",59
"FA148","planting.6",NA
"FA148","planting.1",NA
"FA148","planting.4",64
"FA151","planting.2",65
"FA151","planting.3",55
"FA151","planting.5",66
"FA151","planting.6",60
"FA151","planting.1",59
"FA151","planting.4",57
"FA152","planting.2",NA
"FA152","planting.3",NA
"FA152","planting.5",38
"FA152","planting.6",32
"FA152","planting.1",NA
"FA152","planting.4",38
"FA153","planting.2",65
"FA153","planting.3",49
"FA153","planting.5",NA
"FA153","planting.6",NA
"FA153","planting.1",59
"FA153","planting.4",52
"FA154","planting.2",43
"FA154","planting.3",NA
"FA154","planting.5",59
"FA154","planting.6",39
"FA154","planting.1",52
"FA154","planting.4",45
"FA155","planting.2",65
"FA155","planting.3",42
"FA155","planting.5",73
"FA155","planting.6",46
"FA155","planting.1",52
"FA155","planting.4",NA
"FA157","planting.2",51
"FA157","planting.3",35
"FA157","planting.5",52
"FA157","planting.6",NA
"FA157","planting.1",52
"FA157","planting.4",64
"FA159","planting.2",58
"FA159","planting.3",28
"FA159","planting.5",66
"FA159","planting.6",46
"FA159","planting.1",52
"FA159","planting.4",64
"FA160","planting.2",51
"FA160","planting.3",21
"FA160","planting.5",45
"FA160","planting.6",32
"FA160","planting.1",52
"FA160","planting.4",45
"FA161","planting.2",51
"FA161","planting.3",14
"FA161","planting.5",45
"FA161","planting.6",46
"FA161","planting.1",59
"FA161","planting.4",57
"FA162","planting.2",51
"FA162","planting.3",28
"FA162","planting.5",59
"FA162","planting.6",39
"FA162","planting.1",52
"FA162","planting.4",45
"FA163","planting.2",51
"FA163","planting.3",21
"FA163","planting.5",45
"FA163","planting.6",46
"FA163","planting.1",52
"FA163","planting.4",45
"FA164","planting.2",43
"FA164","planting.3",42
"FA164","planting.5",38
"FA164","planting.6",39
"FA164","planting.1",45
"FA164","planting.4",NA
"FA176","planting.2",65
"FA176","planting.3",49
"FA176","planting.5",59
"FA176","planting.6",60
"FA176","planting.1",59
"FA176","planting.4",57
"FA179","planting.2",51
"FA179","planting.3",14
"FA179","planting.5",59
"FA179","planting.6",39
"FA179","planting.1",52
"FA179","planting.4",45
"FA181","planting.2",51
"FA181","planting.3",42
"FA181","planting.5",66
"FA181","planting.6",60
"FA181","planting.1",59
"FA181","planting.4",64
"FA182","planting.2",58
"FA182","planting.3",14
"FA182","planting.5",59
"FA182","planting.6",60
"FA182","planting.1",59
"FA182","planting.4",52
"FA187","planting.2",NA
"FA187","planting.3",28
"FA187","planting.5",66
"FA187","planting.6",NA
"FA187","planting.1",52
"FA187","planting.4",57
"FA191","planting.2",58
"FA191","planting.3",14
"FA191","planting.5",52
"FA191","planting.6",46
"FA191","planting.1",52
"FA191","planting.4",52
"FA197","planting.2",72
"FA197","planting.3",49
"FA197","planting.5",66
"FA197","planting.6",53
"FA197","planting.1",52
"FA197","planting.4",57
"FA198","planting.2",58
"FA198","planting.3",42
"FA198","planting.5",66
"FA198","planting.6",NA
"FA198","planting.1",45
"FA198","planting.4",64
"FA199","planting.2",51
"FA199","planting.3",28
"FA199","planting.5",66
"FA199","planting.6",NA
"FA199","planting.1",52
"FA199","planting.4",NA
"FA200","planting.2",65
"FA200","planting.3",42
"FA200","planting.5",78
"FA200","planting.6",46
"FA200","planting.1",59
"FA200","planting.4",57
"FA201","planting.2",51
"FA201","planting.3",14
"FA201","planting.5",NA
"FA201","planting.6",46
"FA201","planting.1",59
"FA201","planting.4",57
"FA202","planting.2",58
"FA202","planting.3",42
"FA202","planting.5",59
"FA202","planting.6",46
"FA202","planting.1",52
"FA202","planting.4",57
"FA203","planting.2",58
"FA203","planting.3",21
"FA203","planting.5",59
"FA203","planting.6",39
"FA203","planting.1",52
"FA203","planting.4",52
"FA206","planting.2",43
"FA206","planting.3",NA
"FA206","planting.5",52
"FA206","planting.6",NA
"FA206","planting.1",NA
"FA206","planting.4",NA
"FA209","planting.2",58
"FA209","planting.3",49
"FA209","planting.5",52
"FA209","planting.6",39
"FA209","planting.1",45
"FA209","planting.4",38
"FA215","planting.2",65
"FA215","planting.3",49
"FA215","planting.5",66
"FA215","planting.6",60
"FA215","planting.1",59
"FA215","planting.4",57
"FA216","planting.2",72
"FA216","planting.3",42
"FA216","planting.5",66
"FA216","planting.6",60
"FA216","planting.1",59
"FA216","planting.4",64
"FA217","planting.2",58
"FA217","planting.3",42
"FA217","planting.5",66
"FA217","planting.6",39
"FA217","planting.1",52
"FA217","planting.4",52
"FA220","planting.2",58
"FA220","planting.3",42
"FA220","planting.5",66
"FA220","planting.6",60
"FA220","planting.1",45
"FA220","planting.4",NA
"FA221","planting.2",79
"FA221","planting.3",49
"FA221","planting.5",66
"FA221","planting.6",60
"FA221","planting.1",59
"FA221","planting.4",57
"FA223","planting.2",58
"FA223","planting.3",42
"FA223","planting.5",59
"FA223","planting.6",39
"FA223","planting.1",52
"FA223","planting.4",45
"FA225","planting.2",58
"FA225","planting.3",42
"FA225","planting.5",59
"FA225","planting.6",46
"FA225","planting.1",52
"FA225","planting.4",38
"FA227","planting.2",79
"FA227","planting.3",55
"FA227","planting.5",78
"FA227","planting.6",60
"FA227","planting.1",59
"FA227","planting.4",64
"FA232","planting.2",65
"FA232","planting.3",49
"FA232","planting.5",73
"FA232","planting.6",60
"FA232","planting.1",52
"FA232","planting.4",52
"FA234","planting.2",65
"FA234","planting.3",28
"FA234","planting.5",59
"FA234","planting.6",60
"FA234","planting.1",59
"FA234","planting.4",52
"FA236","planting.2",43
"FA236","planting.3",14
"FA236","planting.5",45
"FA236","planting.6",46
"FA236","planting.1",52
"FA236","planting.4",NA
"FA238","planting.2",65
"FA238","planting.3",49
"FA238","planting.5",59
"FA238","planting.6",53
"FA238","planting.1",59
"FA238","planting.4",57
"FA241","planting.2",51
"FA241","planting.3",35
"FA241","planting.5",59
"FA241","planting.6",39
"FA241","planting.1",52
"FA241","planting.4",57
"FA242","planting.2",58
"FA242","planting.3",21
"FA242","planting.5",59
"FA242","planting.6",NA
"FA242","planting.1",52
"FA242","planting.4",45
"FA244","planting.2",72
"FA244","planting.3",49
"FA244","planting.5",73
"FA244","planting.6",60
"FA244","planting.1",45
"FA244","planting.4",64
"FA245","planting.2",51
"FA245","planting.3",35
"FA245","planting.5",59
"FA245","planting.6",39
"FA245","planting.1",52
"FA245","planting.4",45
"FA247","planting.2",58
"FA247","planting.3",42
"FA247","planting.5",66
"FA247","planting.6",39
"FA247","planting.1",52
"FA247","planting.4",52
"FA248","planting.2",72
"FA248","planting.3",49
"FA248","planting.5",73
"FA248","planting.6",53
"FA248","planting.1",59
"FA248","planting.4",57
"FA251","planting.2",58
"FA251","planting.3",35
"FA251","planting.5",59
"FA251","planting.6",39
"FA251","planting.1",59
"FA251","planting.4",57
"FA255","planting.2",43
"FA255","planting.3",NA
"FA255","planting.5",45
"FA255","planting.6",32
"FA255","planting.1",NA
"FA255","planting.4",NA
"FA256","planting.2",79
"FA256","planting.3",NA
"FA256","planting.5",45
"FA256","planting.6",32
"FA256","planting.1",52
"FA256","planting.4",38
"FA260","planting.2",65
"FA260","planting.3",42
"FA260","planting.5",59
"FA260","planting.6",53
"FA260","planting.1",59
"FA260","planting.4",45
"FA261","planting.2",58
"FA261","planting.3",42
"FA261","planting.5",59
"FA261","planting.6",46
"FA261","planting.1",59
"FA261","planting.4",57
"FA262","planting.2",51
"FA262","planting.3",21
"FA262","planting.5",59
"FA262","planting.6",39
"FA262","planting.1",52
"FA262","planting.4",45
"FA265","planting.2",43
"FA265","planting.3",21
"FA265","planting.5",45
"FA265","planting.6",NA
"FA265","planting.1",NA
"FA265","planting.4",NA
"FA266","planting.2",58
"FA266","planting.3",35
"FA266","planting.5",59
"FA266","planting.6",39
"FA266","planting.1",52
"FA266","planting.4",52
"FA267","planting.2",72
"FA267","planting.3",49
"FA267","planting.5",78
"FA267","planting.6",53
"FA267","planting.1",59
"FA267","planting.4",57
"FA269","planting.2",72
"FA269","planting.3",49
"FA269","planting.5",78
"FA269","planting.6",NA
"FA269","planting.1",52
"FA269","planting.4",57
"FA270","planting.2",72
"FA270","planting.3",49
"FA270","planting.5",66
"FA270","planting.6",53
"FA270","planting.1",59
"FA270","planting.4",57
"FA271","planting.2",43
"FA271","planting.3",35
"FA271","planting.5",52
"FA271","planting.6",39
"FA271","planting.1",52
"FA271","planting.4",57
"FA273","planting.2",72
"FA273","planting.3",49
"FA273","planting.5",78
"FA273","planting.6",60
"FA273","planting.1",70
"FA273","planting.4",64
"FA274","planting.2",65
"FA274","planting.3",42
"FA274","planting.5",59
"FA274","planting.6",53
"FA274","planting.1",59
"FA274","planting.4",64
"FA275","planting.2",72
"FA275","planting.3",42
"FA275","planting.5",73
"FA275","planting.6",46
"FA275","planting.1",59
"FA275","planting.4",NA
"FA276","planting.2",65
"FA276","planting.3",42
"FA276","planting.5",66
"FA276","planting.6",53
"FA276","planting.1",59
"FA276","planting.4",52
"FA278","planting.2",58
"FA278","planting.3",21
"FA278","planting.5",45
"FA278","planting.6",32
"FA278","planting.1",52
"FA278","planting.4",57
"FA285","planting.2",65
"FA285","planting.3",49
"FA285","planting.5",66
"FA285","planting.6",60
"FA285","planting.1",59
"FA285","planting.4",57
"FA286","planting.2",58
"FA286","planting.3",21
"FA286","planting.5",59
"FA286","planting.6",46
"FA286","planting.1",59
"FA286","planting.4",57
"FA287","planting.2",51
"FA287","planting.3",42
"FA287","planting.5",59
"FA287","planting.6",NA
"FA287","planting.1",NA
"FA287","planting.4",57
"FA288","planting.2",51
"FA288","planting.3",28
"FA288","planting.5",52
"FA288","planting.6",32
"FA288","planting.1",NA
"FA288","planting.4",NA
"FA290","planting.2",79
"FA290","planting.3",42
"FA290","planting.5",66
"FA290","planting.6",NA
"FA290","planting.1",45
"FA290","planting.4",NA
"FA292","planting.2",43
"FA292","planting.3",14
"FA292","planting.5",NA
"FA292","planting.6",32
"FA292","planting.1",52
"FA292","planting.4",45
"FA293","planting.2",72
"FA293","planting.3",49
"FA293","planting.5",59
"FA293","planting.6",46
"FA293","planting.1",59
"FA293","planting.4",57
"FA296","planting.2",43
"FA296","planting.3",21
"FA296","planting.5",45
"FA296","planting.6",46
"FA296","planting.1",59
"FA296","planting.4",52
"FA298","planting.2",65
"FA298","planting.3",49
"FA298","planting.5",66
"FA298","planting.6",46
"FA298","planting.1",52
"FA298","planting.4",38
"FA300","planting.2",NA
"FA300","planting.3",49
"FA300","planting.5",66
"FA300","planting.6",60
"FA300","planting.1",45
"FA300","planting.4",64
"FA303","planting.2",51
"FA303","planting.3",NA
"FA303","planting.5",45
"FA303","planting.6",32
"FA303","planting.1",NA
"FA303","planting.4",52
"FA305","planting.2",NA
"FA305","planting.3",49
"FA305","planting.5",78
"FA305","planting.6",NA
"FA305","planting.1",NA
"FA305","planting.4",57
"FA306","planting.2",NA
"FA306","planting.3",14
"FA306","planting.5",73
"FA306","planting.6",53
"FA306","planting.1",59
"FA306","planting.4",57
"FA307","planting.2",58
"FA307","planting.3",21
"FA307","planting.5",66
"FA307","planting.6",25
"FA307","planting.1",52
"FA307","planting.4",52
"FA312","planting.2",51
"FA312","planting.3",21
"FA312","planting.5",45
"FA312","planting.6",60
"FA312","planting.1",59
"FA312","planting.4",64
"FA313","planting.2",51
"FA313","planting.3",NA
"FA313","planting.5",52
"FA313","planting.6",39
"FA313","planting.1",52
"FA313","planting.4",45
"FA314","planting.2",58
"FA314","planting.3",28
"FA314","planting.5",59
"FA314","planting.6",NA
"FA314","planting.1",52
"FA314","planting.4",38
"FA315","planting.2",51
"FA315","planting.3",21
"FA315","planting.5",59
"FA315","planting.6",39
"FA315","planting.1",52
"FA315","planting.4",45
"FA319","planting.2",65
"FA319","planting.3",42
"FA319","planting.5",66
"FA319","planting.6",60
"FA319","planting.1",59
"FA319","planting.4",57
"FA320","planting.2",51
"FA320","planting.3",55
"FA320","planting.5",87
"FA320","planting.6",39
"FA320","planting.1",52
"FA320","planting.4",64
"FA323","planting.2",51
"FA323","planting.3",21
"FA323","planting.5",52
"FA323","planting.6",53
"FA323","planting.1",52
"FA323","planting.4",57
"FA325","planting.2",58
"FA325","planting.3",49
"FA325","planting.5",59
"FA325","planting.6",NA
"FA325","planting.1",70
"FA325","planting.4",NA
"FA327","planting.2",43
"FA327","planting.3",NA
"FA327","planting.5",45
"FA327","planting.6",32
"FA327","planting.1",52
"FA327","planting.4",38
"FA328","planting.2",51
"FA328","planting.3",28
"FA328","planting.5",59
"FA328","planting.6",39
"FA328","planting.1",59
"FA328","planting.4",45
"FA329","planting.2",51
"FA329","planting.3",42
"FA329","planting.5",38
"FA329","planting.6",32
"FA329","planting.1",45
"FA329","planting.4",NA
"FA330","planting.2",65
"FA330","planting.3",42
"FA330","planting.5",59
"FA330","planting.6",46
"FA330","planting.1",59
"FA330","planting.4",45
"FA331","planting.2",65
"FA331","planting.3",49
"FA331","planting.5",66
"FA331","planting.6",60
"FA331","planting.1",70
"FA331","planting.4",64
"FA332","planting.2",51
"FA332","planting.3",35
"FA332","planting.5",59
"FA332","planting.6",39
"FA332","planting.1",45
"FA332","planting.4",45
"FA333","planting.2",51
"FA333","planting.3",35
"FA333","planting.5",87
"FA333","planting.6",32
"FA333","planting.1",NA
"FA333","planting.4",52
"FA334","planting.2",65
"FA334","planting.3",42
"FA334","planting.5",59
"FA334","planting.6",46
"FA334","planting.1",59
"FA334","planting.4",64
"FA335","planting.2",51
"FA335","planting.3",42
"FA335","planting.5",59
"FA335","planting.6",46
"FA335","planting.1",NA
"FA335","planting.4",57
"FA337","planting.2",43
"FA337","planting.3",NA
"FA337","planting.5",52
"FA337","planting.6",39
"FA337","planting.1",59
"FA337","planting.4",52
"FA338","planting.2",65
"FA338","planting.3",49
"FA338","planting.5",66
"FA338","planting.6",46
"FA338","planting.1",52
"FA338","planting.4",57
"FA340","planting.2",65
"FA340","planting.3",42
"FA340","planting.5",66
"FA340","planting.6",53
"FA340","planting.1",59
"FA340","planting.4",64
"FA342","planting.2",51
"FA342","planting.3",21
"FA342","planting.5",45
"FA342","planting.6",NA
"FA342","planting.1",45
"FA342","planting.4",38
"FA345","planting.2",51
"FA345","planting.3",35
"FA345","planting.5",59
"FA345","planting.6",46
"FA345","planting.1",59
"FA345","planting.4",45
"FA346","planting.2",58
"FA346","planting.3",42
"FA346","planting.5",66
"FA346","planting.6",46
"FA346","planting.1",59
"FA346","planting.4",57
"FA349","planting.2",51
"FA349","planting.3",35
"FA349","planting.5",66
"FA349","planting.6",53
"FA349","planting.1",70
"FA349","planting.4",57
"FA355","planting.2",51
"FA355","planting.3",42
"FA355","planting.5",66
"FA355","planting.6",60
"FA355","planting.1",70
"FA355","planting.4",64
"FA358","planting.2",58
"FA358","planting.3",42
"FA358","planting.5",66
"FA358","planting.6",39
"FA358","planting.1",NA
"FA358","planting.4",45
"FA362","planting.2",43
"FA362","planting.3",NA
"FA362","planting.5",52
"FA362","planting.6",39
"FA362","planting.1",59
"FA362","planting.4",45
"FA394","planting.2",58
"FA394","planting.3",55
"FA394","planting.5",59
"FA394","planting.6",53
"FA394","planting.1",59
"FA394","planting.4",45
